id_produto,id_atleta,ganho_massa,idade,frequencia_treino
Fórmula 3,1,2.24,27,5
Fórmula 1,2,4.97,35,4
Fórmula 3,3,0.88,30,6
Fórmula 3,4,0.09,22,6
Fórmula 1,5,2.47,18,6
Fórmula 1,6,0.89,39,4
Fórmula 3,7,1.83,18,4
Fórmula 2,8,3.72,35,3
Fórmula 3,9,3.6,32,5
Fórmula 3,10,1.54,34,2
Fórmula 3,11,2.71,28,6
Fórmula 3,12,2.54,38,3
Fórmula 1,13,3.18,39,2
Fórmula 3,14,1.25,34,3
Fórmula 2,15,2.95,30,4
Fórmula 1,16,4.89,18,6
Fórmula 2,17,2.43,19,2
Fórmula 2,18,4.53,26,2
Fórmula 2,19,2.17,20,2
Fórmula 2,20,1.75,18,2
Fórmula 1,21,3.23,38,2
Fórmula 1,22,3.34,33,3
Fórmula 2,23,4.32,23,6
Fórmula 2,24,1.15,34,4
Fórmula 1,25,2.5,22,4
Fórmula 1,26,2.86,22,4
Fórmula 1,27,3.84,23,4
Fórmula 3,28,0.22,20,3
Fórmula 3,29,4.97,38,5
Fórmula 3,30,2.35,22,6
Fórmula 2,31,1.4,38,2
Fórmula 3,32,4.42,22,5
Fórmula 2,33,3.74,27,4
Fórmula 2,34,4.77,27,5
Fórmula 3,35,1.65,36,6
Fórmula 2,36,2.76,34,2
Fórmula 3,37,2.86,38,2
Fórmula 3,38,4.9,31,6
Fórmula 1,39,0.38,26,6
Fórmula 3,40,1.53,31,4
Fórmula 1,41,0.95,18,2
Fórmula 3,42,1.34,36,5
Fórmula 3,43,2.43,30,3
Fórmula 1,44,1.86,30,3
Fórmula 1,45,1.97,21,6
Fórmula 3,46,4.22,18,4
Fórmula 2,47,4.65,34,3
Fórmula 1,48,0.35,25,2
Fórmula 2,49,1.04,19,6
Fórmula 2,50,3.36,25,5
Fórmula 2,51,1.79,24,6
Fórmula 1,52,1.27,19,5
Fórmula 2,53,1.48,39,6
Fórmula 1,54,1.61,39,6
Fórmula 2,55,4.24,20,6
Fórmula 3,56,0.68,35,5
Fórmula 3,57,3.54,29,5
Fórmula 1,58,2.76,18,6
Fórmula 3,59,1.48,39,3
Fórmula 3,60,2.1,29,4
Fórmula 2,61,1.28,22,4
Fórmula 1,62,3.06,34,4
Fórmula 2,63,0.41,33,5
Fórmula 2,64,0.03,32,5
Fórmula 2,65,3.14,32,3
Fórmula 2,66,0.97,22,4
Fórmula 2,67,0.35,38,4
Fórmula 2,68,1.98,31,6
Fórmula 2,69,0.25,19,5
